Param,Location,y
Temperature ('C),S1,29.9
Temperature ('C),S1,31.35
Temperature ('C),S1,30.65
Temperature ('C),S1,29.29
Temperature ('C),S1,30.55
Temperature ('C),S1,31.65
Temperature ('C),S1,30.21
Temperature ('C),S1,30.26
Temperature ('C),S1,31.5
Temperature ('C),S1,30.29
Temperature ('C),S1,29.6
Temperature ('C),S1,31.25
Temperature ('C),S1,31.7
Temperature ('C),S1,32.15
Temperature ('C),S1,32.04
Temperature ('C),S1,33.06
Temperature ('C),S1,32.02
Temperature ('C),S1,31.93
Temperature ('C),S1,32.15
Temperature ('C),S1,32.47
Temperature ('C),S1,31.8
Temperature ('C),S1,32.22
Temperature ('C),S1,32.93
Temperature ('C),S1,32.56
Temperature ('C),S1,31.79
Temperature ('C),S1,32.34
Temperature ('C),S1,32.56
Temperature ('C),S1,33.1
Temperature ('C),S1,33.09
Temperature ('C),S1,32.77
Temperature ('C),S1,32.69
Temperature ('C),S1,32.61
Temperature ('C),S1,32.65
Temperature ('C),S1,32.69
Temperature ('C),S1,32.62
Temperature ('C),S1,32.9
Temperature ('C),S1,32.81
Temperature ('C),S1,33.06
Temperature ('C),S1,33.05
Temperature ('C),S1,32.85
Temperature ('C),S1,32.99
Temperature ('C),S1,33.1
Temperature ('C),S1,32.6
Temperature ('C),S1,31.11
Temperature ('C),S1,30.7
Temperature ('C),S1,32.41
Temperature ('C),S1,30.5
Temperature ('C),S1,32.55
Temperature ('C),S1,31.93
Temperature ('C),S1,30.9
Temperature ('C),S1,31.38
Temperature ('C),S1,30.8
Temperature ('C),S1,32.37
Temperature ('C),S1,32.04
Temperature ('C),S1,30.53
Temperature ('C),S1,32.02
Temperature ('C),S1,31.38
Temperature ('C),S1,32.54
Temperature ('C),S1,30.4
Temperature ('C),S1,29.53
Temperature ('C),S1,28.92
Temperature ('C),S1,28.92
Temperature ('C),S1,29.79
Temperature ('C),S1,29.55
Temperature ('C),S1,29.75
Temperature ('C),S1,29.68
Temperature ('C),S1,30.12
Temperature ('C),S1,30.12
Temperature ('C),S1,29.6
Temperature ('C),S1,29.95
Temperature ('C),S1,29.64
Temperature ('C),S1,30.31
Temperature ('C),S1,29.36
Temperature ('C),S1,28.7
Temperature ('C),S1,28.39
Temperature ('C),S1,28.42
Temperature ('C),S1,28.63
Temperature ('C),S1,28.7
Temperature ('C),S1,28.39
Temperature ('C),S1,28.53
Temperature ('C),S1,28.5
Temperature ('C),S1,28.35
Temperature ('C),S1,28.69
Temperature ('C),S1,28.31
Temperature ('C),S1,28.56
Temperature ('C),S1,28.62
Temperature ('C),S1,28.34
Temperature ('C),S1,28.7
Temperature ('C),S1,28.3
Temperature ('C),S1,27.94
Temperature ('C),S1,27.94
Temperature ('C),S1,27.73
Temperature ('C),S1,27.63
Temperature ('C),S1,27.77
Temperature ('C),S1,27.56
Temperature ('C),S1,28.03
Temperature ('C),S1,27.89
Temperature ('C),S1,27.84
Temperature ('C),S1,28.02
Temperature ('C),S1,27.55
Temperature ('C),S1,27.75
Temperature ('C),S1,27.86
Temperature ('C),S1,27.68
Temperature ('C),S1,27.5
Temperature ('C),S1,27.31
Temperature ('C),S1,27.31
Temperature ('C),S1,27.29
Temperature ('C),S1,27.17
Temperature ('C),S1,27.08
Temperature ('C),S1,27.39
Temperature ('C),S1,27.11
Temperature ('C),S1,27.34
Temperature ('C),S1,26.82
Temperature ('C),S1,27.09
Temperature ('C),S1,26.86
Temperature ('C),S1,27.03
Temperature ('C),S1,27.29
Temperature ('C),S1,27.31
Temperature ('C),S1,26.99
Temperature ('C),S1,26.8
Temperature ('C),S1,27.31
Temperature ('C),S1,27.31
Temperature ('C),S1,27.29
Temperature ('C),S1,27.17
Temperature ('C),S1,27.08
Temperature ('C),S1,27.39
Temperature ('C),S1,27.11
Temperature ('C),S1,27.34
Temperature ('C),S1,26.82
Temperature ('C),S1,27.09
Temperature ('C),S1,26.86
Temperature ('C),S1,27.03
Temperature ('C),S1,27.29
Temperature ('C),S1,27.31
Temperature ('C),S1,26.3
Temperature ('C),S1,25.69
Temperature ('C),S1,25.17
Temperature ('C),S1,25.95
Temperature ('C),S1,25.1
Temperature ('C),S1,26.12
Temperature ('C),S1,25.41
Temperature ('C),S1,25.46
Temperature ('C),S1,25.09
Temperature ('C),S1,26.11
Temperature ('C),S1,25.04
Temperature ('C),S1,25.93
Temperature ('C),S1,26.09
Temperature ('C),S1,26.23
Temperature ('C),S1,24.93
Temperature ('C),S1,25.75
Temperature ('C),S1,24.9
Temperature ('C),S1,24.28
Temperature ('C),S1,24.44
Temperature ('C),S1,24.47
Temperature ('C),S1,24.21
Temperature ('C),S1,24.21
Temperature ('C),S1,24.85
Temperature ('C),S1,24.55
Temperature ('C),S1,24.57
Temperature ('C),S1,24.71
Temperature ('C),S1,24.43
Temperature ('C),S1,24.61
Temperature ('C),S1,24.51
Temperature ('C),S1,24.78
Temperature ('C),S1,24.42
Temperature ('C),S1,24.2
Temperature ('C),S1,23.77
Temperature ('C),S1,24.18
Temperature ('C),S1,23.97
Temperature ('C),S1,23.75
Temperature ('C),S1,23.74
Temperature ('C),S1,23.93
Temperature ('C),S1,24.16
Temperature ('C),S1,24.12
Temperature ('C),S1,24.13
Temperature ('C),S1,23.87
Temperature ('C),S1,23.85
Temperature ('C),S1,23.78
Temperature ('C),S1,24.07
Temperature ('C),S1,23.77
Temperature ('C),S1,23.7
Temperature ('C),S1,23.15
Temperature ('C),S1,23.34
Temperature ('C),S1,23.15
Temperature ('C),S1,23.2
Temperature ('C),S1,23.15
Temperature ('C),S1,23.23
Temperature ('C),S1,23.7
Temperature ('C),S1,23.11
Temperature ('C),S1,23.61
Temperature ('C),S1,23.51
Temperature ('C),S1,23.62
Temperature ('C),S1,23.14
Temperature ('C),S1,23.29
Temperature ('C),S1,23.67
Temperature ('C),S1,23.1
Temperature ('C),S1,23.01
Temperature ('C),S1,22.77
Temperature ('C),S1,22.95
Temperature ('C),S1,23.02
Temperature ('C),S1,23.01
Temperature ('C),S1,22.7
Temperature ('C),S1,22.98
Temperature ('C),S1,22.84
Temperature ('C),S1,22.73
Temperature ('C),S1,22.69
Temperature ('C),S1,22.64
Temperature ('C),S1,23.01
Temperature ('C),S1,23.01
Temperature ('C),S1,22.8
Temperature ('C),S1,23.1
Temperature ('C),S1,22.6
Temperature ('C),S1,22.11
Temperature ('C),S1,22.56
Temperature ('C),S1,22.02
Temperature ('C),S1,22.28
Temperature ('C),S1,22.43
Temperature ('C),S1,22.45
Temperature ('C),S1,22.07
Temperature ('C),S1,22.23
Temperature ('C),S1,22.45
Temperature ('C),S1,22.27
Temperature ('C),S1,22.45
Temperature ('C),S1,22.14
Temperature ('C),S1,22.54
Temperature ('C),S1,22.57
Temperature ('C),S1,22.0
Temperature ('C),S1,21.8
Temperature ('C),S1,21.92
Temperature ('C),S1,21.86
Temperature ('C),S1,21.93
Temperature ('C),S1,21.98
Temperature ('C),S1,21.85
Temperature ('C),S1,21.91
Temperature ('C),S1,21.99
Temperature ('C),S1,21.63
Temperature ('C),S1,21.7
Temperature ('C),S1,21.86
Temperature ('C),S1,21.67
Temperature ('C),S1,21.66
Temperature ('C),S1,21.75
Temperature ('C),S2,21.2
Temperature ('C),S2,21.1
Temperature ('C),S2,20.94
Temperature ('C),S2,20.94
Temperature ('C),S2,21.19
Temperature ('C),S2,20.87
Temperature ('C),S2,20.95
Temperature ('C),S2,21.05
Temperature ('C),S2,21.05
Temperature ('C),S2,20.91
Temperature ('C),S2,21.02
Temperature ('C),S2,20.97
Temperature ('C),S2,20.9
Temperature ('C),S2,20.83
Temperature ('C),S2,20.94
Temperature ('C),S2,20.8
Temperature ('C),S2,20.56
Temperature ('C),S2,20.45
Temperature ('C),S2,20.24
Temperature ('C),S2,20.32
Temperature ('C),S2,20.28
Temperature ('C),S2,20.32
Temperature ('C),S2,20.35
Temperature ('C),S2,20.23
Temperature ('C),S2,20.79
Temperature ('C),S2,20.77
Temperature ('C),S2,20.27
Temperature ('C),S2,20.38
Temperature ('C),S2,20.72
Temperature ('C),S2,20.48
Temperature ('C),S2,20.78
Temperature ('C),S2,20.2
Temperature ('C),S2,20.04
Temperature ('C),S2,20.1
Temperature ('C),S2,20.15
Temperature ('C),S2,20.1
Temperature ('C),S2,20.14
Temperature ('C),S2,20.19
Temperature ('C),S2,20.09
Temperature ('C),S2,20.1
Temperature ('C),S2,20.11
Temperature ('C),S2,20.15
Temperature ('C),S2,20.05
Temperature ('C),S2,20.04
Temperature ('C),S2,20.07
Temperature ('C),S2,20.17
Temperature ('C),S2,20.0
Temperature ('C),S2,20.5
Temperature ('C),S2,20.31
Temperature ('C),S2,20.6
Temperature ('C),S2,20.48
Temperature ('C),S2,20.05
Temperature ('C),S2,20.09
Temperature ('C),S2,20.21
Temperature ('C),S2,20.26
Temperature ('C),S2,20.3
Temperature ('C),S2,20.27
Temperature ('C),S2,20.43
Temperature ('C),S2,20.09
Temperature ('C),S2,20.02
Temperature ('C),S2,20.44
Temperature ('C),S2,20.3
Temperature ('C),S2,20.6
Temperature ('C),S2,21.14
Temperature ('C),S2,21.92
Temperature ('C),S2,21.64
Temperature ('C),S2,20.83
Temperature ('C),S2,21.15
Temperature ('C),S2,21.97
Temperature ('C),S2,21.77
Temperature ('C),S2,21.3
Temperature ('C),S2,21.46
Temperature ('C),S2,21.53
Temperature ('C),S2,20.67
Temperature ('C),S2,21.25
Temperature ('C),S2,22.0
Temperature ('C),S2,22.29
Temperature ('C),S2,22.37
Temperature ('C),S2,23.88
Temperature ('C),S2,24.42
Temperature ('C),S2,24.16
Temperature ('C),S2,23.88
Temperature ('C),S2,23.49
Temperature ('C),S2,22.81
Temperature ('C),S2,23.02
Temperature ('C),S2,22.73
Temperature ('C),S2,23.88
Temperature ('C),S2,23.48
Temperature ('C),S2,23.71
Temperature ('C),S2,22.13
Temperature ('C),S2,24.6
Temperature ('C),S2,25.23
Temperature ('C),S2,26.51
Temperature ('C),S2,26.45
Temperature ('C),S2,26.27
Temperature ('C),S2,25.68
Temperature ('C),S2,26.12
Temperature ('C),S2,25.65
Temperature ('C),S2,26.89
Temperature ('C),S2,25.92
Temperature ('C),S2,26.16
Temperature ('C),S2,25.05
Temperature ('C),S2,26.71
Temperature ('C),S2,25.31
Temperature ('C),S2,25.59
Temperature ('C),S2,26.9
Temperature ('C),S2,27.09
Temperature ('C),S2,27.35
Temperature ('C),S2,28.3
Temperature ('C),S2,27.63
Temperature ('C),S2,28.59
Temperature ('C),S2,28.48
Temperature ('C),S2,27.41
Temperature ('C),S2,28.21
Temperature ('C),S2,27.07
Temperature ('C),S2,28.85
Temperature ('C),S2,28.79
Temperature ('C),S2,28.35
Temperature ('C),S2,28.67
Temperature ('C),S2,28.54
Temperature ('C),S2,27.62
Temperature ('C),S2,28.9
Temperature ('C),S2,30.24
Temperature ('C),S2,30.94
Temperature ('C),S2,30.99
Temperature ('C),S2,31.0
Temperature ('C),S2,30.5
Temperature ('C),S2,29.71
Temperature ('C),S2,31.36
Temperature ('C),S2,29.95
Temperature ('C),S2,29.71
Temperature ('C),S2,30.4
Temperature ('C),S2,29.23
Temperature ('C),S2,30.66
Temperature ('C),S2,28.95
Temperature ('C),S2,29.1
Temperature ('C),S2,31.5
Temperature ('C),S2,32.31
Temperature ('C),S2,31.63
Temperature ('C),S2,32.44
Temperature ('C),S2,32.2
Temperature ('C),S2,31.53
Temperature ('C),S2,31.98
Temperature ('C),S2,31.55
Temperature ('C),S2,31.6
Temperature ('C),S2,31.9
Temperature ('C),S2,31.94
Temperature ('C),S2,31.78
Temperature ('C),S2,32.55
Temperature ('C),S2,32.56
Temperature ('C),S2,31.96
Temperature ('C),S2,32.7
Temperature ('C),S2,32.39
Temperature ('C),S2,32.24
Temperature ('C),S2,32.59
Temperature ('C),S2,32.5
Temperature ('C),S2,32.44
Temperature ('C),S2,32.62
Temperature ('C),S2,32.64
Temperature ('C),S2,32.68
Temperature ('C),S2,32.32
Temperature ('C),S2,32.53
Temperature ('C),S2,32.69
Temperature ('C),S2,32.54
Temperature ('C),S2,32.53
Temperature ('C),S2,32.57
Temperature ('C),S2,32.2
Temperature ('C),S2,31.01
Temperature ('C),S2,31.46
Temperature ('C),S2,30.65
Temperature ('C),S2,32.09
Temperature ('C),S2,31.72
Temperature ('C),S2,32.03
Temperature ('C),S2,31.97
Temperature ('C),S2,32.01
Temperature ('C),S2,31.92
Temperature ('C),S2,30.8
Temperature ('C),S2,32.18
Temperature ('C),S2,31.68
Temperature ('C),S2,31.22
Temperature ('C),S2,30.94
Temperature ('C),S2,31.84
Temperature ('C),S2,30.5
Temperature ('C),S2,29.61
Temperature ('C),S2,29.28
Temperature ('C),S2,29.29
Temperature ('C),S2,30.07
Temperature ('C),S2,29.29
Temperature ('C),S2,29.48
Temperature ('C),S2,30.01
Temperature ('C),S2,29.93
Temperature ('C),S2,29.9
Temperature ('C),S2,30.1
Temperature ('C),S2,29.12
Temperature ('C),S2,29.01
Temperature ('C),S2,30.49
Temperature ('C),S2,29.27
Temperature ('C),S2,28.9
Temperature ('C),S2,28.81
Temperature ('C),S2,28.78
Temperature ('C),S2,28.87
Temperature ('C),S2,28.41
Temperature ('C),S2,28.51
Temperature ('C),S2,28.75
Temperature ('C),S2,28.11
Temperature ('C),S2,28.38
Temperature ('C),S2,28.3
Temperature ('C),S2,28.41
Temperature ('C),S2,28.11
Temperature ('C),S2,28.69
Temperature ('C),S2,28.85
Temperature ('C),S2,28.88
Temperature ('C),S2,28.1
Temperature ('C),S2,27.82
Temperature ('C),S2,28.1
Temperature ('C),S2,27.9
Temperature ('C),S2,28.08
Temperature ('C),S2,28.03
Temperature ('C),S2,27.9
Temperature ('C),S2,27.93
Temperature ('C),S2,27.98
Temperature ('C),S2,27.86
Temperature ('C),S2,27.96
Temperature ('C),S2,27.81
Temperature ('C),S2,27.97
Temperature ('C),S2,27.84
Temperature ('C),S2,28.05
Temperature ('C),S2,27.8
Temperature ('C),S2,27.11
Temperature ('C),S2,27.42
Temperature ('C),S2,27.77
Temperature ('C),S2,27.3
Temperature ('C),S2,27.79
Temperature ('C),S2,27.62
Temperature ('C),S2,27.56
Temperature ('C),S2,27.27
Temperature ('C),S2,27.49
Temperature ('C),S2,27.46
Temperature ('C),S2,27.6
Temperature ('C),S2,27.73
Temperature ('C),S2,27.47
Temperature ('C),S2,27.15
Temperature ('C),S2,27.66
Temperature ('C),S2,27.0
Temperature ('C),S2,27.11
Temperature ('C),S2,27.42
Temperature ('C),S2,27.77
Temperature ('C),S2,27.3
Temperature ('C),S2,27.79
Temperature ('C),S2,27.62
Temperature ('C),S2,27.56
Temperature ('C),S2,27.27
Temperature ('C),S2,27.49
Temperature ('C),S2,27.46
Temperature ('C),S2,27.6
Temperature ('C),S2,27.73
Temperature ('C),S2,27.47
Temperature ('C),S2,27.15
Temperature ('C),S2,26.5
Temperature ('C),S2,25.84
Temperature ('C),S2,24.91
Temperature ('C),S2,26.06
Temperature ('C),S2,24.9
Temperature ('C),S2,25.84
Temperature ('C),S2,25.79
Temperature ('C),S2,26.02
Temperature ('C),S2,25.77
Temperature ('C),S2,26.0
Temperature ('C),S2,26.37
Temperature ('C),S2,25.96
Temperature ('C),S2,25.89
Temperature ('C),S2,25.47
Temperature ('C),S2,25.98
Temperature ('C),S2,25.55
Temperature ('C),S2,24.8
Temperature ('C),S2,24.4
Temperature ('C),S2,24.78
Temperature ('C),S2,24.42
Temperature ('C),S2,24.59
Temperature ('C),S2,24.78
Temperature ('C),S2,24.63
Temperature ('C),S2,24.79
Temperature ('C),S2,24.71
Temperature ('C),S2,24.77
Temperature ('C),S2,24.35
Temperature ('C),S2,24.58
Temperature ('C),S2,24.43
Temperature ('C),S2,24.36
Temperature ('C),S2,24.33
Temperature ('C),S2,24.3
Temperature ('C),S2,23.97
Temperature ('C),S2,23.97
Temperature ('C),S2,24.22
Temperature ('C),S2,23.97
Temperature ('C),S2,23.5
Temperature ('C),S2,23.6
Temperature ('C),S2,23.66
Temperature ('C),S2,24.01
Temperature ('C),S2,23.21
Temperature ('C),S2,24.26
Temperature ('C),S2,24.19
Temperature ('C),S2,23.35
Temperature ('C),S2,24.09
Temperature ('C),S2,23.24
Temperature ('C),S2,23.2
Temperature ('C),S2,22.83
Temperature ('C),S2,23.01
Temperature ('C),S2,23.12
Temperature ('C),S2,22.84
Temperature ('C),S2,23.04
Temperature ('C),S2,22.93
Temperature ('C),S2,22.91
Temperature ('C),S2,23.02
Temperature ('C),S2,22.98
Temperature ('C),S2,22.86
Temperature ('C),S2,23.07
Temperature ('C),S2,22.95
Temperature ('C),S2,23.09
Temperature ('C),S2,23.05
Temperature ('C),S2,22.8
Temperature ('C),S2,22.59
Temperature ('C),S2,22.77
Temperature ('C),S2,22.12
Temperature ('C),S2,22.51
Temperature ('C),S2,22.43
Temperature ('C),S2,22.41
Temperature ('C),S2,22.57
Temperature ('C),S2,22.24
Temperature ('C),S2,22.25
Temperature ('C),S2,22.23
Temperature ('C),S2,22.13
Temperature ('C),S2,22.79
Temperature ('C),S2,22.46
Temperature ('C),S2,22.31
Temperature ('C),S2,22.68
Temperature ('C),S2,22.1
Temperature ('C),S2,21.71
Temperature ('C),S2,21.93
Temperature ('C),S2,21.83
Temperature ('C),S2,22.1
Temperature ('C),S2,22.01
Temperature ('C),S2,22.03
Temperature ('C),S2,22.01
Temperature ('C),S2,22.01
Temperature ('C),S2,21.74
Temperature ('C),S2,21.99
Temperature ('C),S2,21.96
Temperature ('C),S2,21.9
Temperature ('C),S2,21.99
Temperature ('C),S2,22.0
Temperature ('C),S2,21.7
Temperature ('C),S2,21.59
Temperature ('C),S2,21.25
Temperature ('C),S2,21.49
Temperature ('C),S2,21.63
Temperature ('C),S2,21.34
Temperature ('C),S2,21.45
Temperature ('C),S2,21.65
Temperature ('C),S2,21.4
Temperature ('C),S2,21.27
Temperature ('C),S2,21.44
Temperature ('C),S2,21.31
Temperature ('C),S2,21.42
Temperature ('C),S2,21.48
Temperature ('C),S2,21.51
Temperature ('C),S3,21.3
Temperature ('C),S3,21.04
Temperature ('C),S3,21.16
Temperature ('C),S3,21.27
Temperature ('C),S3,20.51
Temperature ('C),S3,21.27
Temperature ('C),S3,20.89
Temperature ('C),S3,20.59
Temperature ('C),S3,20.65
Temperature ('C),S3,20.56
Temperature ('C),S3,21.25
Temperature ('C),S3,20.85
Temperature ('C),S3,20.59
Temperature ('C),S3,21.27
Temperature ('C),S3,21.21
Temperature ('C),S3,20.5
Temperature ('C),S3,20.36
Temperature ('C),S3,20.44
Temperature ('C),S3,20.4
Temperature ('C),S3,20.33
Temperature ('C),S3,20.37
Temperature ('C),S3,20.32
Temperature ('C),S3,20.48
Temperature ('C),S3,20.46
Temperature ('C),S3,20.49
Temperature ('C),S3,20.5
Temperature ('C),S3,20.43
Temperature ('C),S3,20.39
Temperature ('C),S3,20.43
Temperature ('C),S3,20.44
Temperature ('C),S3,20.42
Temperature ('C),S3,20.3
Temperature ('C),S3,20.16
Temperature ('C),S3,20.3
Temperature ('C),S3,20.19
Temperature ('C),S3,20.13
Temperature ('C),S3,20.24
Temperature ('C),S3,20.11
Temperature ('C),S3,20.16
Temperature ('C),S3,20.24
Temperature ('C),S3,20.14
Temperature ('C),S3,20.14
Temperature ('C),S3,20.17
Temperature ('C),S3,20.23
Temperature ('C),S3,20.18
Temperature ('C),S3,20.29
Temperature ('C),S3,20.1
Temperature ('C),S3,20.72
Temperature ('C),S3,20.63
Temperature ('C),S3,20.64
Temperature ('C),S3,20.97
Temperature ('C),S3,20.89
Temperature ('C),S3,21.03
Temperature ('C),S3,20.52
Temperature ('C),S3,20.44
Temperature ('C),S3,20.49
Temperature ('C),S3,20.98
Temperature ('C),S3,20.53
Temperature ('C),S3,20.89
Temperature ('C),S3,20.75
Temperature ('C),S3,21.07
Temperature ('C),S3,20.64
Temperature ('C),S3,21.1
Temperature ('C),S3,21.62
Temperature ('C),S3,21.44
Temperature ('C),S3,21.66
Temperature ('C),S3,21.22
Temperature ('C),S3,21.49
Temperature ('C),S3,21.65
Temperature ('C),S3,21.42
Temperature ('C),S3,21.38
Temperature ('C),S3,21.58
Temperature ('C),S3,21.34
Temperature ('C),S3,21.37
Temperature ('C),S3,21.46
Temperature ('C),S3,21.7
Temperature ('C),S3,21.86
Temperature ('C),S3,22.48
Temperature ('C),S3,24.64
Temperature ('C),S3,24.28
Temperature ('C),S3,22.72
Temperature ('C),S3,22.07
Temperature ('C),S3,22.61
Temperature ('C),S3,22.45
Temperature ('C),S3,23.16
Temperature ('C),S3,24.16
Temperature ('C),S3,23.43
Temperature ('C),S3,23.87
Temperature ('C),S3,22.07
Temperature ('C),S3,22.45
Temperature ('C),S3,24.8
Temperature ('C),S3,25.8
Temperature ('C),S3,25.43
Temperature ('C),S3,25.93
Temperature ('C),S3,25.84
Temperature ('C),S3,25.04
Temperature ('C),S3,25.51
Temperature ('C),S3,25.07
Temperature ('C),S3,26.39
Temperature ('C),S3,26.42
Temperature ('C),S3,26.64
Temperature ('C),S3,25.5
Temperature ('C),S3,26.71
Temperature ('C),S3,25.32
Temperature ('C),S3,26.78
Temperature ('C),S3,27.0
Temperature ('C),S3,27.66
Temperature ('C),S3,27.85
Temperature ('C),S3,27.95
Temperature ('C),S3,27.3
Temperature ('C),S3,28.47
Temperature ('C),S3,27.17
Temperature ('C),S3,27.36
Temperature ('C),S3,27.63
Temperature ('C),S3,28.73
Temperature ('C),S3,27.07
Temperature ('C),S3,28.39
Temperature ('C),S3,28.05
Temperature ('C),S3,28.93
Temperature ('C),S3,28.26
Temperature ('C),S3,27.16
Temperature ('C),S3,29.3
Temperature ('C),S3,30.94
Temperature ('C),S3,30.55
Temperature ('C),S3,30.23
Temperature ('C),S3,29.7
Temperature ('C),S3,29.61
Temperature ('C),S3,29.38
Temperature ('C),S3,30.28
Temperature ('C),S3,30.95
Temperature ('C),S3,29.32
Temperature ('C),S3,29.54
Temperature ('C),S3,30.05
Temperature ('C),S3,31.15
Temperature ('C),S3,29.97
Temperature ('C),S3,29.93
Temperature ('C),S3,31.2
Temperature ('C),S3,31.97
Temperature ('C),S3,31.61
Temperature ('C),S3,32.54
Temperature ('C),S3,31.32
Temperature ('C),S3,32.11
Temperature ('C),S3,31.63
Temperature ('C),S3,32.54
Temperature ('C),S3,31.46
Temperature ('C),S3,31.62
Temperature ('C),S3,31.89
Temperature ('C),S3,31.44
Temperature ('C),S3,32.67
Temperature ('C),S3,32.02
Temperature ('C),S3,31.98
Temperature ('C),S3,32.9
Temperature ('C),S3,32.67
Temperature ('C),S3,32.67
Temperature ('C),S3,32.36
Temperature ('C),S3,32.38
Temperature ('C),S3,32.54
Temperature ('C),S3,32.5
Temperature ('C),S3,32.83
Temperature ('C),S3,32.73
Temperature ('C),S3,32.55
Temperature ('C),S3,32.66
Temperature ('C),S3,32.52
Temperature ('C),S3,32.38
Temperature ('C),S3,32.74
Temperature ('C),S3,32.59
Temperature ('C),S3,32.3
Temperature ('C),S3,30.63
Temperature ('C),S3,31.85
Temperature ('C),S3,32.01
Temperature ('C),S3,30.86
Temperature ('C),S3,31.33
Temperature ('C),S3,30.66
Temperature ('C),S3,30.66
Temperature ('C),S3,31.04
Temperature ('C),S3,32.23
Temperature ('C),S3,31.53
Temperature ('C),S3,32.22
Temperature ('C),S3,32.09
Temperature ('C),S3,31.83
Temperature ('C),S3,31.04
Temperature ('C),S3,30.7
Temperature ('C),S3,30.3
Temperature ('C),S3,28.48
Temperature ('C),S3,29.39
Temperature ('C),S3,29.25
Temperature ('C),S3,28.61
Temperature ('C),S3,28.67
Temperature ('C),S3,29.97
Temperature ('C),S3,29.05
Temperature ('C),S3,28.56
Temperature ('C),S3,29.7
Temperature ('C),S3,28.98
Temperature ('C),S3,30.08
Temperature ('C),S3,29.57
Temperature ('C),S3,30.05
Temperature ('C),S3,29.97
Temperature ('C),S3,28.4
Temperature ('C),S3,28.15
Temperature ('C),S3,27.96
Temperature ('C),S3,28.15
Temperature ('C),S3,28.31
